Category,ID,Check,Expected Result,Severity,Status,Notes
Functional,F-001,First app launch,No login permissions ads or donation prompt,Critical,Pending,
Functional,F-002,Open Surah Al-Fatihah,Surah opens offline,Critical,Pending,
Functional,F-003,Open Surah Al-Baqarah,Long Surah scrolls smoothly,High,Pending,
Functional,F-004,Open Juz 30,Juz opens correctly,High,Pending,
Functional,F-005,Script switch IndoPak to Uthmani,Position remains stable,Critical,Pending,
Functional,F-006,Script switch Uthmani to IndoPak,Position remains stable,Critical,Pending,
Functional,F-007,Bookmark ayah,Bookmark appears and opens,Critical,Pending,
Functional,F-008,Bookmark page,Page bookmark appears and opens,High,Pending,
Functional,F-009,Resume last-read,Previous location opens,Critical,Pending,
Functional,F-010,Search ayah reference,Correct ayah opens,Critical,Pending,
Functional,F-011,Arabic text search,Matching ayahs appear,High,Pending,
Functional,F-012,Elder Mode,Text and controls enlarge,High,Pending,
Functional,F-013,Theme switching,Theme changes and persists,Medium,Pending,
Functional,F-014,Trust Center,Source verification and privacy pledge visible,Critical,Pending,
Offline,O-001,Airplane mode reader,All Quran reading works offline,Critical,Pending,
Offline,O-002,Airplane mode search,Search works offline,Critical,Pending,
Offline,O-003,Airplane mode bookmarks,Bookmarks work offline,Critical,Pending,
Offline,O-004,Airplane mode Trust Center,Trust Center opens offline,Critical,Pending,
Content,C-001,Surah count,114,Critical,Pending,
Content,C-002,Ayah count,6236,Critical,Pending,
Content,C-003,Duplicate ayah keys,0,Critical,Pending,
Content,C-004,Missing IndoPak text,0,Critical,Pending,
Content,C-005,Missing Uthmani text,0,Critical,Pending,
Content,C-006,Missing page mapping,0,Critical,Pending,
Content,C-007,Missing Juz mapping,0,Critical,Pending,
Content,C-008,Search index count,Matches ayah count,Critical,Pending,
Content,C-009,Content manifest,Present and complete,Critical,Pending,
Content,C-010,Checksums,Match source manifest,Critical,Pending,
Privacy,P-001,Dangerous permissions,None requested,Critical,Pending,
Privacy,P-002,Ad SDK,None present,Critical,Pending,
Privacy,P-003,Analytics SDK,None present,Critical,Pending,
Privacy,P-004,Advertising ID,Not used,Critical,Pending,
Privacy,P-005,Login/account flow,Not present,Critical,Pending,
Privacy,P-006,Network dependency,Core features work offline,Critical,Pending,
Device,D-001,Samsung test,Pass full smoke test,High,Pending,
Device,D-002,Vivo test,Pass full smoke test,High,Pending,
Device,D-003,Oppo test,Pass full smoke test,High,Pending,
Device,D-004,Xiaomi/Redmi test,Pass full smoke test,High,Pending,
Device,D-005,Infinix/Tecno test,Pass full smoke test,High,Pending,
Release,R-001,Manual content review,Approved before public release,Critical,Pending,
Release,R-002,Play Store Data Safety,No data collected/shared statement supportable,Critical,Pending,
Release,R-003,Release owner sign-off,Completed,Critical,Pending,
